@relation house
@attribute P1 real[2,7322564]
@attribute P5p1 real[0.125,0.9230769]
@attribute P6p2 real[0,1]
@attribute P11p4 real[0,0.9172546]
@attribute P14p9 real[0,0.5118719]
@attribute P15p1 real[0.0541562,1]
@attribute P15p3 real[0,0.9433249]
@attribute P16p2 real[0.2337023,1]
@attribute P18p2 real[0,0.125]
@attribute P27p4 real[0,0.7057357]
@attribute H2p2 real[0,0.9751773]
@attribute H8p2 real[0,1]
@attribute H10p1 real[0.0032573,1]
@attribute H13p1 real[0,1]
@attribute H18pA real[0,1]
@attribute H40p4 real[0,1]
@attribute Price real[0,500001]
@inputs P1, P5p1, P6p2, P11p4, P14p9, P15p1, P15p3, P16p2, P18p2, P27p4, H2p2, H8p2, H10p1, H13p1, H18pA, H40p4
@outputs Price
@data
225,0.5155556,0.0088889,0.16,0.1100917,0.9244444,0,0.7974684,0,0.0126582,0.1022727,0,0.5063291,0.3522727,0.2105263,0.75,14999
2867,0.4782002,0.0013952,0.1541681,0.1029412,0.891873,0,0.7626962,0.0064635,0.0341644,0.0243243,0.0009234,0.9944598,0.1405405,0.0632184,0.5,68900
1794,0.4949833,0,0.1566332,0.1059603,0.9091416,0,0.7936508,0.002886,0.021645,0.0142248,0,0.998557,0.170697,0.0840336,0.5,85200
1051,0.4814462,0.0019029,0.1427212,0.0880734,0.9010466,0,0.7823961,0.00489,0.0342298,0.0443925,0.002445,1,0.2803738,0.0660377,0.6666667,29500
997,0.4774323,0,0.1614845,0.1420345,0.8956871,0,0.728,0,0.0053333,0.0359897,0,1,0.1645244,0.0857143,0.5,31500
1659,0.4629295,0.0096444,0.1464738,0.1066218,0.8631706,0,0.7209653,0.0075415,0.0512821,0.0582386,0.0075415,0.9291101,0.2727273,0.1061224,0.2,41700
13024,0.4819564,0.3129607,0.2182125,0.1551801,0.73211,0.0264896,0.5640318,0.0024163,0.0940628,0.2474347,0.2437004,0.9521919,0.6373555,0.0916537,0.5722543,60600
1399,0.4903503,0.0064332,0.1336669,0.0715288,0.8906362,0,0.7426901,0.0019493,0.0331384,0.1407035,0.0038986,0.6881092,0.4455611,0.0973451,0.5,41700
11671,0.4931026,0.0026562,0.1448034,0.0628803,0.9207437,0,0.828856,0.0020843,0.0305697,0.0909474,0.0025475,0.9874942,0.0416842,0.11,0.3670886,254200
979,0.46476,0.040858,0.1481103,0.120229,0.8937692,0,0.733711,0.0056657,0.01983,0.1063291,0.0481586,0.9943343,0.3139241,0.2087912,0.8333333,15200
533,0.4465291,0.3752345,0.2945591,0.1898305,0.8180113,0.0375235,0.68,0,0.0222222,0.3440233,0.3066667,1,0.4635569,0.137931,0.6,31100
1550,0.4625806,0,0.1283871,0.1356543,0.9012903,0,0.7632027,0.0051107,0.0136286,0.1092564,0,0.9982964,0.2989378,0.0814815,0,19500
2715,0.492081,0.0662983,0.1285451,0.0725163,0.947698,0,0.8719262,0.0020492,0.0143443,0.024975,0.0512295,0.9590164,0.027972,0.1578947,0.4545455,69900
6932,0.4712926,0.0062031,0.1498846,0.1077763,0.7896711,0.0220716,0.6293286,0.0024735,0.0727915,0.0328093,0.004947,0.9915194,0.3127136,0.0595829,0.2352941,62800
2213,0.463624,0.0099413,0.4753728,0.1625948,0.8807049,0,0.7683508,0.0009533,0.0162059,0.1087511,0.0104862,0.9675882,0.191164,0.0900901,0.173913,42300
2670,0.3217228,0.0374532,0.6621723,0.5118719,0.3539326,0.5344569,0.540404,0.0016835,0.0387205,0.0083472,0.013468,0.9882155,0.4657763,0.0330189,0,125000
28205,0.473994,0.0017373,0.1947172,0.1390537,0.9061868,0.0083673,0.7860187,0.0014205,0.023336,0.0252201,0.0010146,0.9704748,0.1721887,0.0625337,0.2876712,175900
366,0.489071,0.4918033,0.1311475,0.1016043,0.931694,0,0.8292683,0.0081301,0.0162602,0.0820896,0.4146341,0.9756098,0.3656716,0.1785714,1,15600
98,0.4795918,0,0.2040816,0.0784314,0.8877551,0,0.7368421,0,0.0263158,0.1555556,0,1,0.0222222,0,0.8,14999
142,0.4859155,0,0.2394366,0.1506849,0.8239437,0,0.6610169,0.0169492,0.0677966,0.1060606,0,1,0.2121212,0,1,39600
2642,0.4882665,0.0325511,0.1419379,0.1161243,0.8576836,0.0208176,0.7175493,0.0062305,0.0373832,0.0577299,0.03946,1,0.3189824,0.1076923,0.4444444,31700
217,0.5069124,0,0.1198157,0.0654206,0.9262673,0,0.8266667,0.0133333,0.0266667,0.0740741,0,1,0.1728395,0.3333333,1,46000
1014,0.4585799,0,0.142998,0.1311475,0.9112426,0,0.782967,0.0082418,0.0192308,0.0945274,0,0.9972527,0.2487562,0.1875,0.4615385,25100
4660,0.5178112,0.0128755,0.0669528,0.0556297,0.9270386,0.0229614,0.8472597,0.0035939,0.0332435,0.089198,0.0143756,0.2866128,0.5924714,0.4333895,0.3846154,91700
477,0.4633124,0.0628931,0.1844864,0.1640625,0.8280922,0,0.6387435,0.0157068,0.0471204,0.1434978,0.0418848,1,0.3452915,0.1384615,0.5,18100
7259,0.4846398,0.0023419,0.175093,0.1133387,0.8984709,0.0012398,0.7704155,0.0010745,0.0261461,0.0435081,0.0025072,0.9881805,0.1956149,0.0446429,0.4166667,104700
602,0.4734219,0,0.2342193,0.2018927,0.845515,0,0.654902,0.0039216,0.0117647,0.1442953,0,0.9960784,0.3154362,0.1449275,0.3333333,15900
48702,0.469837,0.0215186,0.1369348,0.0954686,0.8138269,0.0155435,0.6736469,0.0060698,0.0736469,0.0431247,0.0198786,0.9598887,0.3476598,0.0525255,0.0851064,127300
705,0.4737589,0,0.1148936,0.1536388,0.9092199,0,0.765625,0,0.015625,0.1821086,0,0.9921875,0.3354633,0.1612903,0,22700
988,0.4949393,0.0040486,0.1062753,0.0701403,0.9342105,0,0.7987013,0,0.0064935,0.1348315,0,0.5292208,0.2668539,0.1641791,0.5714286,26000
282,0.4858156,0.0602837,0.2446809,0.2,0.8758865,0,0.7355372,0,0.0247934,0.0970149,0.0413223,0.9917355,0.1716418,0.125,0.6666667,56000
4698,0.467433,0.0536398,0.192848,0.1566747,0.7607493,0.0932312,0.6579694,0.0051049,0.031764,0.0681818,0.0476461,0.9892229,0.2965116,0.06231,0.375,32200
57,0.5438596,0,0.3333333,0,0.9122807,0,0.7826087,0,0,0.3235294,0,1,0.3235294,0,0,14999
1579,0.4851172,0.3381887,0.210893,0.1414514,0.8518049,0.0272324,0.725256,0.0085324,0.0341297,0.1148036,0.3020478,0.9982935,0.3021148,0.1320755,0.9230769,26300
4859,0.4733484,0.0041161,0.2187693,0.1461508,0.7995472,0.0382795,0.654215,0.0010096,0.0323069,0.0690789,0.002524,0.9969712,0.293703,0.043152,0.75,32300
353,0.4929178,0.0056657,0.1813031,0.1117318,0.8611898,0.0226629,0.7218045,0,0.0300752,0.0567376,0,0.9924812,0.2695035,0.0952381,1,26900
2271,0.4892118,0.002642,0.110524,0.0827586,0.897402,0,0.7740864,0.0011074,0.0265781,0.0484721,0.0011074,0.9966777,0.3256059,0.0487805,0.75,42600
171,0.4385965,0.1578947,0.2046784,0.2708333,0.8421053,0,0.6486486,0,0.0135135,0.1395349,0.2162162,1,0.1511628,0.0526316,0.6666667,22800
1694,0.487013,0.0082645,0.1399055,0.0759494,0.9173554,0.0023613,0.8127036,0.0016287,0.029316,0.0238474,0.0032573,0.9967427,0.1383148,0.1060606,0.7142857,129300
241,0.4813278,0.0041494,0.1244813,0.072,0.9253112,0,0.7954545,0,0,0.0736842,0,1,0.1263158,0.1818182,1,14999
16376,0.4822912,0.0039082,0.0735833,0.0645199,0.8446507,0.0240596,0.7162829,0.003125,0.0615132,0.0264211,0.0032895,0.9973684,0.339952,0.0325444,0.3,60900
611,0.4680851,0,0.1423895,0.1261538,0.9067103,0,0.7866109,0.0041841,0.0251046,0.1048689,0,0.9958159,0.3782772,0.1111111,0.6666667,20400
145,0.4896552,0.6689655,0.2,0.1351351,0.8413793,0,0.6349206,0,0,0.1,0.6190476,1,0.4571429,0.0526316,1,24200
2165,0.4443418,0,0.2568129,0.2177889,0.7949192,0.0415704,0.6371681,0.0033186,0.0254425,0.077551,0,0.9977876,0.3969388,0.0738255,0.5263158,14999
2347,0.472092,0.0046868,0.1674478,0.1202583,0.8108223,0.0157648,0.6368313,0.0041152,0.0452675,0.0347567,0.005144,0.9917695,0.3406157,0.0347395,0,135600
41,0.3902439,0,0.1707317,0.2,0.8780488,0,0.7058824,0,0,0.7536232,0,1,0.5362319,0,0,23800
452,0.4977876,0,0.1637168,0.1497797,0.9070796,0,0.748503,0,0,0.1435897,0,0.9341317,0.2769231,0.0714286,1,19200
3014,0.4873922,0.0544127,0.1526211,0.1003236,0.9280027,0,0.8269795,0.0009775,0.0312805,0.0182342,0.0410557,0.9657869,0.0902111,0.0747664,0.375,154900
8525,0.4849267,0.0015249,0.2131378,0.1427921,0.8133724,0.0187683,0.6527232,0.0058956,0.0384615,0.0599103,0.0005615,0.993543,0.3058855,0.0610902,0.4516129,31200
195,0.4923077,0.1128205,0.1230769,0.1313131,0.9128205,0,0.7619048,0,0.031746,0.1710526,0.0952381,0.8730159,0.4078947,0.3333333,0,14999
201,0.4676617,0,0.2288557,0.1121495,0.9054726,0,0.7692308,0,0.0128205,0.0487805,0,1,0.1707317,0.0666667,0,30400
166,0.4879518,0,0.1204819,0.0823529,0.9277108,0,0.8035714,0,0.0178571,0.0508475,0,1,0.2033898,0.0714286,0,14999
2950,0.4498305,0.0013559,0.2044068,0.1497227,0.8532203,0,0.6756536,0.002451,0.0220588,0.0727273,0.000817,0.998366,0.2772727,0.0368272,0.6923077,31300
210,0.4857143,0,0.1333333,0.1388889,0.8,0,0.6043956,0,0.0659341,0.125,0,1,0.3173077,0.0243902,0,26400
56,0.5,0,0.1607143,0.2142857,0.8214286,0,0.6086957,0,0.0434783,0.3235294,0,1,0.4705882,0,0,14999
64,0.59375,0,0.203125,0.0769231,0.84375,0,0.72,0.04,0.08,0.2424242,0,1,0.2424242,0,1,14999
460,0.4826087,0.0021739,0.123913,0.0672269,0.9304348,0,0.8060606,0,0,0.0677966,0.0060606,1,0.1468927,0.1315789,0,22000
11980,0.4536728,0.6606845,0.1614357,0.1222307,0.8276294,0.0138564,0.6585315,0.0035461,0.0427618,0.0448296,0.6451815,0.992282,0.343694,0.032445,0.4126984,65500
239,0.4309623,0,0.0753138,0.0661765,0.9497908,0,0.8607595,0,0.0126582,0.0246914,0,1,0.308642,0.3,0,38000
1696,0.4487028,0.709316,0.1774764,0.1336898,0.8602594,0.0188679,0.6919355,0.0016129,0.0209677,0.1091954,0.6370968,0.9935484,0.3405172,0.1838565,0.6666667,21500
355,0.4338028,0.9859155,0.1408451,0.1691542,0.9126761,0,0.7363636,0,0.0181818,0.0677966,0.9818182,1,0.4237288,0.15625,0,14999
20009,0.5020241,0.0163926,0.0226398,0.0251907,0.9519216,0,0.8816997,0.0043457,0.027201,0.0497094,0.013681,0.9428617,0.0659223,0.2053743,0.4387755,56000
266,0.4887218,0.0150376,0.0977444,0.0882353,0.9398496,0,0.8351648,0,0.010989,0.125,0.021978,1,0.3173077,0.3333333,0,16000
8730,0.4640321,0.1604811,0.166323,0.144689,0.8492554,0.0178694,0.7029902,0.0034503,0.0301898,0.0707988,0.1661875,0.9974123,0.348918,0.074884,0.3913043,34900
39,0.5384615,0,0.4871795,0.1111111,0.8717949,0,0.8,0,0.05,0.3548387,0,1,0.4516129,0,1,14999
1713,0.4535902,0.0420315,0.2451839,0.2638889,0.599533,0.1115003,0.4508301,0.0012771,0.0727969,0.0874126,0.0332056,0.9948914,0.7004662,0.0122249,0.3846154,35300
309,0.5048544,0,0.0711974,0.0261438,0.8705502,0,0.7372881,0.0084746,0.0423729,0.4354067,0,0.9915254,0.6602871,0.2380952,0.8,44800
1145,0.4515284,0.0034934,0.2454148,0.2213376,0.7432314,0.0716157,0.6171079,0.00611,0.0346232,0.2067851,0.0020367,0.9959267,0.4006462,0.0607735,0.5625,40200
217,0.4654378,0.0046083,0.1612903,0.0775862,0.8709677,0,0.7472527,0,0.0549451,0.3851351,0.010989,0.989011,0.4391892,0,0.6666667,40300
1100,0.4818182,0,0.1345455,0.1298246,0.8990909,0,0.7524038,0,0.0168269,0.0857143,0,0.9975962,0.2879121,0.1188811,0.6,25800
239,0.5020921,0.0083682,0.0920502,0.0672269,0.9205021,0,0.7682927,0,0,0.1086957,0.0121951,0.7560976,0.3478261,0.1935484,0,15900
16590,0.4775769,0.1284509,0.1256178,0.0954194,0.7791441,0.0189271,0.6236239,0.006992,0.0935733,0.0480102,0.1279381,0.8250521,0.6279564,0.0716235,0.4736842,132800
898,0.4187082,0.0022272,0.3541203,0.3582375,0.6837416,0.2260579,0.7191011,0.0037453,0.011236,0.1188119,0,0.9026217,0.4026403,0.1333333,0.5,29300
493,0.4807302,0,0.2900609,0.1601562,0.8640974,0,0.708134,0,0.0287081,0.0913043,0,1,0.1869565,0.09375,0.5,14999
7423,0.5066685,0.1146437,0.0021555,0.0057346,0.9831604,0.00714,0.9691479,0,0.0029383,0.0308495,0.1243879,0.9382958,0.1172283,0.2102151,0,0
449,0.5077951,0,0.2160356,0.1402715,0.8485523,0,0.671875,0.0104167,0.015625,0.1615721,0,0.9947917,0.2445415,0.0851064,1,21900
1555,0.4823151,0.0025723,0.1543408,0.0968944,0.8951768,0,0.7517361,0.0052083,0.0190972,0.0649351,0.0017361,0.9600694,0.3376623,0.1527094,0.6666667,32300
3096,0.4796512,0.0129199,0.1476098,0.0931099,0.9198966,0.0074289,0.8161025,0.0009149,0.0182983,0.0284444,0.0128088,0.989936,0.0515556,0.0921053,0.4444444,163600
277,0.5018051,0,0.1227437,0.0797101,0.9133574,0,0.776699,0,0.0097087,0.0550459,0,1,0.3119266,0.2142857,0,21300
846,0.4397163,0.0023641,0.2529551,0.1708861,0.7706856,0.06974,0.6170213,0.0030395,0.0182371,0.1498708,0,1,0.4134367,0.19,0.6363636,14999
824,0.4745146,0.0048544,0.2196602,0.1547344,0.8543689,0,0.6763848,0.0029155,0.0174927,0.0550964,0.0029155,1,0.261708,0.0273973,1,16900
836,0.4976077,0.0849282,0.1255981,0.1095238,0.9126794,0,0.7580071,0.0035587,0.0106762,0.0816993,0.0782918,0.9928826,0.375817,0.244898,0.6666667,14999
3819,0.4721131,0.0170202,0.2223095,0.1780754,0.7962817,0.0269704,0.6307978,0.0061843,0.0364873,0.1051467,0.021645,0.9641311,0.3049253,0.0665529,0.6491228,22300
8389,0.4774109,0.0060794,0.1256407,0.0946624,0.8745977,0.0138276,0.7336433,0.0043175,0.03454,0.1117994,0.0046496,0.1956161,0.4073746,0.1356108,0.8571429,55300
11636,0.4841011,0.1540048,0.0915263,0.0696319,0.8371433,0,0.6912574,0.0052852,0.0832416,0.0822555,0.1178155,0.9753358,0.2934519,0.1150029,0.2653061,61600
734,0.4945504,0.0054496,0.219346,0.1132075,0.8419619,0,0.6812865,0,0.0204678,0.4222973,0.005848,0.994152,0.375,0.0277778,0.2857143,65800
171,0.5087719,0,0.1637427,0.0714286,0.9122807,0,0.7878788,0,0.0151515,0.3714286,0,1,0.2761905,0,0,36300
3354,0.4740608,0,0.2155635,0.1598639,0.8133572,0.033393,0.6544923,0.0014609,0.0219138,0.111039,0,0.9985391,0.3980519,0.0820896,0.5294118,21500
1526,0.4639581,0.0006553,0.2214941,0.1699267,0.8309305,0.0491481,0.7107143,0.0035714,0.0321429,0.0459966,0,0.9928571,0.2282794,0.1085271,0.7,26600
1750,0.5028571,0.0017143,0.1777143,0.0965517,0.8708571,0,0.7368421,0.002845,0.0398293,0.3128055,0.002845,0.9502134,0.6050831,0.0729927,0.25,30200
939,0.4536741,0.2097977,0.1799787,0.1949318,0.8210863,0.0415335,0.6722222,0,0.0305556,0.0600522,0.1777778,0.9916667,0.2663185,0.0695652,0.5,37600
249,0.4738956,0,0.1606426,0.1755725,0.8915663,0,0.7346939,0,0.0102041,0.0841121,0,1,0.3271028,0.0714286,1,14999
1010,0.490099,0,0.150495,0.1184466,0.8514851,0,0.6798942,0.0079365,0.047619,0.1447964,0,0.8333333,0.4932127,0.1958042,0.5555556,33400
1673,0.4512851,0.4584579,0.1470412,0.1481481,0.8786611,0.0059773,0.7088608,0.0015823,0.0110759,0.1073446,0.3939873,0.9936709,0.3841808,0.1558442,0.3333333,24500
7216,0.468265,0.0013858,0.1647727,0.1316132,0.8414634,0.029102,0.7039618,0.0073368,0.0330154,0.0731044,0.0003668,0.9981658,0.2594356,0.1001001,0.6585366,31400
23875,0.4802094,0.0075393,0.1286702,0.1037067,0.829822,0.0303246,0.6940966,0.0059258,0.0544499,0.0461768,0.0073792,0.9855769,0.3597099,0.0575699,0.25,66200
3875,0.4683871,0.0002581,0.1442581,0.1140777,0.9052903,0,0.7709974,0,0.011811,0.0644567,0,0.9993438,0.2510743,0.0368272,0.4444444,33200
985,0.4720812,0,0.2162437,0.1711538,0.8649746,0,0.6878173,0.0025381,0.0203046,0.0772834,0,0.9949239,0.1615925,0.019802,1,28600
174,0.4770115,0,0.1264368,0.0769231,0.8678161,0,0.6875,0,0.046875,0.2727273,0,1,0.2613636,0.1176471,1,34200
19926,0.4997491,0.0071766,0.0713139,0.0603933,0.8733815,0.0075279,0.7288296,0.0018878,0.0401834,0.0372582,0.0063376,0.9710086,0.3238998,0.0331867,0.2318841,80200
472,0.4427966,0,0.0720339,0.0608365,0.9279661,0,0.80625,0.00625,0.0125,0.1256831,0,0.99375,0.3169399,0.125,0.5,34500
4187,0.4728923,0.0124194,0.1867686,0.1359311,0.8844041,0.0021495,0.7479142,0.0041716,0.023242,0.0583614,0.0101311,0.9940405,0.295174,0.0811359,0.3125,30100
5095,0.4663395,0.0019627,0.1894014,0.1566752,0.8107949,0.023945,0.6447059,0.0047059,0.0305882,0.0704287,0.0009412,0.9962353,0.2847769,0.0560876,0.4736842,26500
4333,0.4509578,0.0567736,0.2162474,0.1382934,0.6958228,0.017309,0.49122,0.0018484,0.0591497,0.0521244,0.0522181,0.9861368,0.5361367,0.0138793,0.4666667,90100
15527,0.503832,0.0206737,0.0281445,0.0236241,0.940684,0.0016745,0.861327,0.0037856,0.0302849,0.0646664,0.0193266,0.9667264,0.1095788,0.122449,0.3449782,84100
4910,0.4562118,0.6558045,0.1281059,0.1359551,0.8368635,0.0401222,0.7218732,0.0045688,0.0525414,0.1147624,0.6133638,0.9988578,0.39636,0.0912343,0.6153846,26600
3771,0.4608857,0.8599841,0.118271,0.1116576,0.8827897,0.0108724,0.7368006,0.0039401,0.0386131,0.1284341,0.8140268,0.9905437,0.2987637,0.1710914,0.7586207,27100
522,0.48659,0,0.2490421,0.1828358,0.8295019,0,0.6512605,0,0.0252101,0.0846154,0,1,0.2769231,0.0408163,0.8,16600
9205,0.4744161,0.1016839,0.1500272,0.1256718,0.8813688,0.0271592,0.7562806,0.0035889,0.0218597,0.1162053,0.1102773,0.6058728,0.3806228,0.1849255,0.7096774,32600
4382,0.4890461,0.4329073,0.1750342,0.1268423,0.5166591,0.3895482,0.6728232,0.001759,0.0272647,0.0830645,0.3588391,0.9903254,0.2919355,0.0929705,0.7,25300
5048,0.4742472,0.0338748,0.0905309,0.0561417,0.7325674,0.1852219,0.7730871,0.0013193,0.0375989,0.0761731,0.0230871,0.9584433,0.3796466,0.1023766,0.375,56500
175,0.4857143,0,0.2514286,0.1,0.8571429,0,0.7042254,0.0140845,0.028169,0.1125,0,1,0.1875,0,1,14999
605,0.4942149,0,0.1900826,0.124183,0.8694215,0,0.6963563,0,0.0161943,0.1453287,0,0.8704453,0.2941176,0.0555556,1,14999
1505,0.4923588,0.0026578,0.0724252,0.0458115,0.9182724,0.0059801,0.8214971,0,0.0345489,0.0333952,0,0.9980806,0.1706865,0.1294118,0.25,53400
367,0.4877384,0,0.2016349,0.2074468,0.7929155,0,0.5875,0.00625,0.04375,0.0361446,0,1,0.2891566,0,0.25,24200
250,0.464,0.02,0.144,0.1567164,0.92,0,0.7727273,0,0,0.1287129,0.0227273,1,0.1485149,0.2631579,0,22400
2644,0.4534796,0.0098336,0.1739788,0.1612457,0.7651286,0.0578669,0.6345083,0.0009276,0.0612245,0.0502203,0.0120594,1,0.4061674,0.062201,0.4,42400
1175,0.4561702,0.0034043,0.1404255,0.0876369,0.8629787,0,0.7176221,0.0042463,0.0488323,0.0328542,0.0042463,0.9978769,0.3080082,0.0392157,0,54600
331,0.4531722,0.0030211,0.3202417,0.2154696,0.8519637,0,0.6666667,0,0.0069444,0.0828025,0.0069444,1,0.2738854,0,0,14999
909,0.4653465,0,0.3344334,0.2613169,0.770077,0.0638064,0.6234097,0,0.0076336,0.1108597,0,1,0.3076923,0.0138889,0.6666667,18700
