@relation STP
@attribute att0 real[17.219,61.5]
@attribute att1 real[19.25,60.25]
@attribute att2 real[12.75,25.125]
@attribute att3 real[34.375,60.125]
@attribute att4 real[27.75,94.125]
@attribute att5 real[14.125,35.25]
@attribute att6 real[58,87.25]
@attribute att7 real[16.375,29.25]
@attribute att8 real[31.5,53]
@attribute output real[34,62]
@data
45,27.5,15.625,35.375,43.375,16.5,63.875,21.625,37.625,49.125
29.328,53.375,21.625,45.125,90.375,27.25,66.125,21.5,43.75,43.625
43,22.625,17.875,42,43.75,17.125,67.875,26.25,34.25,44.125
52.375,42.25,19,54,59.75,27,81.25,26.625,43.625,46.75
43.75,21.25,19.375,42.75,28,17.125,67,23.25,35.875,43.25
34.672,57.625,21.875,44.875,79,26,73.125,22.25,45.5,50.625
26.438,50.5,20.75,40.375,63,30,65.625,19.875,42.75,36.375
30.219,53.75,22.375,45.625,92.5,27,67.375,22,44.125,45
38.422,53.625,19,49.875,67.5,21.125,81.875,27.125,46.875,53.625
26.719,51.375,20,40.5,78.875,28.375,66.375,21.375,42.5,41.25
26.719,50.875,20.125,40.75,77.125,27.875,67.375,21.625,42.25,41.25
47,39.5,16.875,55.375,48.75,23.5,81.25,26.625,40,45.125
37.422,50.625,18.25,45.875,69.125,18.625,76.75,23.25,47.125,54.5
38.25,58,20.625,51.375,70.625,23,79,23.75,46.75,55.5
49.328,34.5,14,42.5,47.5,16.75,64.125,24.875,49,56.75
34,57.125,21.75,46.875,78.125,26.5,73.75,22.5,45.125,51.125
21.328,53,19.125,46.375,63,29.125,70.5,18.875,48.25,40.25
50,40.75,19.75,53.125,58.625,22.5,80,26,42.25,46
60.5,32.125,16.25,40.375,43.375,17.875,61.375,27.625,46.125,57.5
58.5,35.875,15.875,43.125,45.25,17.875,64.25,27.5,50,58.375
17.891,51.375,19.625,44,62,26.125,68.125,19.125,48.75,35.625
26.172,52.75,22.25,43.125,64.375,30.125,65.625,21.25,46.375,38.5
40.578,41.5,14.375,42.375,62.25,18.25,68.25,23.875,48.375,52.75
28.063,50.125,21.125,40.625,77.375,30.75,71.625,21.125,43,40.625
25.891,53,21.5,41.375,64.25,30.5,65.25,20.5,45.5,36.75
25.719,54.75,23,45.125,64,29.5,65.25,21.5,48.75,39.75
41.75,45.25,15.375,46.375,62.875,18.5,69.875,23.375,50,55
37,57.5,20.75,50.875,72,23.625,79.5,23.625,47.5,55.375
48.75,26.25,15,34.625,41.75,17,61.75,23.5,39,49.875
43.5,25.5,15.125,38.125,48.625,16.625,66.75,25.375,38.25,46.5
46.875,26.25,16.125,49.125,42.75,25,74.25,27.125,40.375,48
27.109,50.625,21.875,40.375,64.75,30.625,70.125,21.375,43.625,38.375
32.672,58.625,20.5,46.25,74.75,26.125,72.75,22,43.75,50.375
27.172,51.25,20.75,42.375,76.5,32.75,68.5,19.625,41.125,38.5
47.75,23.75,15.625,49.375,40.125,26.125,79.375,28.125,39.25,49.75
29.563,52.875,22.375,43,77.875,32.875,72.875,21.75,45,42.25
43,22.75,14.375,39.5,49.5,15.875,64.375,23.75,34.875,42.625
41.625,23.625,14.625,37.375,46.5,15.5,67.75,24.375,36.875,42.75
35.172,58,21.875,46,80.125,25.875,71.75,22.25,46.25,51.375
32.578,58.375,20.375,46.375,75.25,26.375,72.75,22.125,44.75,50.375
56.875,30.625,14.25,39.75,41.625,17,61,26.875,44.25,59.5
43.875,25.375,15.5,38.5,47.5,16.125,63.125,25,38.25,46.5
26.438,51.375,22.125,40.125,64,30,65.875,21,41.875,36.625
26.891,52.875,22.125,41.25,66.125,31.25,66.5,21.875,47.125,37.5
56.672,35.625,16.125,43.125,45.875,18,63.125,27.625,49.875,60
39.625,23.75,15,37.625,45.875,15.875,66.625,24.375,37,42
21.438,55.25,21.125,43.25,64.125,29,67,18.25,44,39.375
44.875,25.375,18.625,43.875,37.625,18,69,27.25,36.25,47.75
28.281,50.875,20.125,41.75,87,27.75,71.25,22,44.625,44.75
46.125,22.375,15.125,38.875,50.625,15.375,66,24.5,33.375,46
28.891,53.5,22,45.125,90.875,27,66,21.125,42.75,43
20.438,52.875,19.5,46.875,62.875,29.5,70.25,18.125,47.75,40.25
44.375,20.625,20.25,44.75,29.375,17.375,68.75,23.75,35.5,43.5
58,31.75,14.75,40.875,42.25,17.875,63.5,28,45.25,60.5
47.625,31.5,15.875,56.75,36.875,28.375,82.75,27.5,39.625,47
44.875,44,18.5,58.75,59,29.875,84,27.25,44.625,48.875
48.75,25.5,15.25,35.25,44.25,17.125,62.625,23.875,38.625,50
45.125,24.625,19.75,46.25,43.625,18.625,67.5,25.375,36.125,47.625
20,53.625,21.5,42.625,63.75,27.375,65.375,18.5,44.25,38.125
48.125,32.125,15.875,58.25,38.5,29.625,83.375,28,40.375,47.75
35.422,58.875,20.125,48.875,73.875,25.5,79.125,22.75,48.5,54.5
48,28.875,15.75,51,39.375,26.25,79.5,27.875,39.75,49.375
32.219,56.375,20.75,45.75,85.125,27.375,68.75,22.125,45.25,48.25
44.25,42.875,18.375,56.5,54.5,25,79.5,27.5,42.125,44.625
47,33.5,16,56.25,37.5,28.875,81.875,27.75,40.625,48.5
49.875,41.125,19,52,54.75,24.375,80.375,27.125,42.375,45.5
46.125,38.875,15.75,56.375,49.25,22.25,80.875,26.375,39.5,44.375
35,58.25,22.125,45.75,72.25,25.75,75.75,22.5,48.625,55
39.172,58.75,20.5,52.5,70.875,21.75,82.5,24.5,47.625,56.375
47.75,29.5,15.625,54.25,37.125,28.75,81,27,39.125,47
43.75,44.375,18.75,59.875,57.25,29.75,84.25,27.375,44.375,48.375
27.563,50.125,20.875,40.75,75.75,31.875,69.25,19.375,41.25,39.25
27.781,53.125,21.75,41.125,65.375,31,67.5,21.5,46.75,38.125
20.828,53.875,19.375,47,63.25,30.125,69.75,18.25,48.625,39
21.719,55.75,23.125,47.25,63.625,30.125,69.75,20.125,52.125,42.125
20.781,54.625,23.75,45.5,64.625,30.875,65.875,19.875,48.5,40.5
18.719,49.25,19,43.5,60.375,29,65.875,16.5,48,34.5
41.25,44.125,15.125,45.875,62.625,17.875,68.25,22.5,49.25,54.375
22,56.625,21.375,43.75,64.25,29.25,67.75,18.375,44.375,39.75
