@relation STP
@attribute att0 real[17.219,61.5]
@attribute att1 real[19.25,60.25]
@attribute att2 real[12.75,25.125]
@attribute att3 real[34.375,60.125]
@attribute att4 real[27.75,94.125]
@attribute att5 real[14.125,35.25]
@attribute att6 real[58,87.25]
@attribute att7 real[16.375,29.25]
@attribute att8 real[31.5,53]
@attribute output real[34,62]
@data
40.75,36.5,14.875,38.625,55.125,15.625,61.25,21.625,48.25,49.75
45.375,23.125,16.625,38.625,51.375,14.75,70,25.125,31.75,44.75
20.891,52.375,18.625,46.375,61.375,28.875,68.375,17.75,47.75,38
49.625,42.5,18.5,52.875,56,27.5,80.25,26.375,43,47.625
21.5,53.625,20.125,42.625,63.625,28.25,65.625,18.125,43,37.5
49,39.625,19.375,52.25,55.125,22,81.5,26.875,42.875,46.75
21.109,53.125,19.875,46.25,63.125,30,68,18.75,50.125,39.625
29.281,52.625,22.25,43.75,77,33,73,21.625,45.125,42.25
20.891,52.75,19.625,46.75,63.25,29.25,70.625,18.375,49,40.375
48,29.5,15.875,52.25,39,26.5,79.75,27.875,40.25,48.875
48.75,29,20.125,50.75,35.125,20.125,76.375,28,38.5,45
26.219,52.75,22.5,43.875,64.625,29.875,65.375,20.875,46,38.125
38.672,39.25,13.25,42,58.25,17.5,65,22.375,46.875,50.5
37.578,58.25,20,51.5,72.375,24.375,80.75,23.875,48.375,56.625
48.875,38.375,17.75,59.5,52.875,24.625,84.75,28,42,46.875
18.672,51.5,20,44,62.625,27.875,69.375,18.375,49.625,36.25
28.219,52.125,21.375,43.375,77.75,35.125,69.625,19.875,42.75,40.375
35.563,58.5,22.375,46,80.25,25.375,71.75,22.375,45.875,51.625
24.5,52.75,19.75,41.875,60.375,28.875,63.75,19.5,46.75,38.75
40.172,41.125,15.125,42.375,63,17.625,67.5,22.5,47.875,52
38,58.125,20.625,52.75,70.375,23,79.25,23.375,46.5,55.625
33.719,57,20.375,43.75,78.75,26.25,68.875,21.875,43.875,50
47.5,37.625,15.5,42.375,55.375,16.375,62.625,22.25,50.375,56.125
46,38.875,16.375,57,50,22.5,81.625,26.125,39.875,44
28.891,53.25,21.5,44.125,89.5,29.625,68.25,22,45.125,45.375
42.328,38,12.875,39.25,52.125,17,62.625,21.75,47.625,49.875
35.672,58,20.125,50.125,70.75,24.625,80.125,23.25,48.125,54.875
34.25,57.125,21.5,47,73.375,25,77.25,22.75,48.5,55.125
32.438,56.875,21.25,45.5,88.125,27.375,68.625,22.5,45.125,48.625
43.328,37.625,13.5,39.5,54.625,16.25,61.625,21,49.75,52.25
21.219,53.125,20,46.875,63.25,28.75,70,18.625,48,39.625
46.5,33.375,15.875,55.625,43.375,28,82,27.75,40.5,46.5
39.078,54.875,19.625,51.5,68.625,21.5,82.875,23.75,47.375,54.875
46.125,22.125,15.25,38,50,15.125,65.375,24.25,33.125,45.5
51.328,34.125,14.125,44.875,46,17.375,64.25,25.25,50,57.625
49.25,25.25,19.75,46.375,31.875,19.375,70.125,26.5,40,47.625
34.563,56.625,20.625,45,82,26.75,70,22.25,44.25,51
27.672,50.125,20.375,41.375,75.75,32.75,69.375,19.625,41.75,39.375
31.891,55.125,21.25,45.75,93,27.5,67.375,21.875,45,46.125
45,42.125,17.5,56.5,53.75,24.75,79.375,27.5,41.75,45.5
17.219,50.5,18.75,43,60.875,26.375,67.75,19,48.75,34.875
42.875,23.375,18,41.75,46.625,16.75,68.625,26.75,34.375,44.625
46.875,23.375,17,40.875,51.375,16.125,69.75,24.875,34.875,44.875
21.063,57.75,23.625,47.75,63.625,31.375,69.375,20.875,51,42.25
48.25,25,14.5,46.375,40.375,25.75,75.5,27.125,40.5,49.75
47,37,15.25,41.25,56.25,15.875,63.5,22,50.25,56.75
34.25,58.25,20.25,48.25,73.875,25.75,79,23.625,49,54.5
45.125,20.875,20.25,44.125,29,17,67.75,24.125,36,44.375
27.938,50.625,20,44.125,90.25,28.125,68.375,22.25,45.625,44.5
46,22.375,14.375,39,49.625,15.375,64.875,23.5,35.25,46
31.781,55,21.375,45.625,92,27.75,67.625,22,45.25,46.375
47.25,25,14.875,47.5,40.625,25,75,27.375,40.25,48.125
59.125,29.5,14.75,39.875,42.625,15.5,58.5,26.25,42.5,59.125
21.5,54.625,20.375,43.375,63.75,28.25,65.5,18.5,43,37.25
47.672,37.375,15.125,42.75,56.5,16.75,65.375,24.125,47.625,57
45.375,21,14.25,38.125,48.375,15,64.375,22.75,33.25,45.25
27.391,50.5,20.625,40.25,76.5,28.75,70.75,21,41.875,40
47.25,28.875,19.5,52.75,37.125,21,75,27.5,38.75,46.75
39.828,44,17.125,39.875,65.5,17.25,68.25,21.125,45.5,52.625
27.719,49.375,21,41.75,77.375,31.75,70.5,20.25,41.625,39.625
38,44.875,15.5,44.25,61.5,17.25,68.875,23,49.25,53
44.875,23.875,16.75,40.75,49.5,15.125,69,25.5,33.875,44.125
26.219,49.5,22.25,39,62,29.875,66,20.375,42.25,36.75
38.922,46,16.25,40,61.625,18.25,69.5,22.125,49,53.25
44.5,23.625,17,39.25,51,14.875,70.75,24.375,32.875,44
29.5,51.25,22.25,42.25,75.375,32.75,71.875,21,45,41.5
29.563,52.75,21.5,44.875,90,29,67.875,21.625,44.625,44.375
48.375,38.25,17.625,56,54.5,26.375,82,26.5,41.375,45.875
26.063,52.625,22.375,43.25,64,31,64.75,20.625,47.875,36.875
46.625,38.875,15.75,57.5,49.5,22.75,81,26.75,39.375,44.125
29.328,51.625,22.75,43,74,33.125,73.25,22.5,46.5,41.5
35.922,58.375,20.375,48.875,73.875,25.625,79.5,23.25,49.125,54.125
21.828,55.25,21.125,44,64.25,29.375,66.875,18.375,44.25,39.25
29.063,50.875,21.375,43.875,89.75,29.125,68.625,22.25,45.25,44.875
24.938,54.5,22.375,44.25,62.875,29.25,64.625,21.25,48.25,39.25
40,43.625,17.125,40,62.75,17.25,65.5,21.125,45.875,51.75
26.5,49.75,21.375,39.625,62.5,29.625,65.5,20.125,42.75,36.375
21.063,54.5,19.25,46.75,63.25,30.25,68.75,18.875,48.625,39.25
26.109,49.625,21.5,39.125,62.25,29.75,64.75,19.875,41.75,35.375
34.922,58.375,21,48.5,74.75,25.875,79.25,22.875,48.625,54.875
18.109,49,19.5,41.875,59.625,26.625,66.25,17.125,47.75,34.375
18.672,50.125,19.25,43,61.75,28,66,16.875,47.25,34.625
47.25,23.25,17.875,41.625,51.5,16.625,69.5,27.125,35.375,45.625
20.328,53.5,19,45.5,62.375,30,67.375,18.375,46,37.375
50.25,24.5,15.25,49.375,40.75,26.75,76.375,27.875,42.125,50.5
36.75,57.5,20.25,49.625,71.5,25,79.875,22.875,48.25,55.625
33.75,60.25,21.5,47.75,79.25,26.625,77,22.125,46.125,53.5
39.672,58.75,20.125,52.25,71,22.125,84.125,24.5,48.125,55.875
53.078,34.375,14.75,43.125,46,17.625,64.125,25.75,49.625,58.375
55.078,34.375,15,42,46,17.75,62.875,26.5,49.75,57.875
27,50.875,20.125,40.875,77.375,28.25,67.75,21.625,42.375,41.5
47,39,16.25,56,50.125,22.75,81.625,26.75,39.625,45.5
35.172,57.5,19.75,48.375,71.75,24.625,78.375,22.5,47.5,53.625
59,32,15,41.125,42.5,18,64.375,28.375,46,60.25
46.375,25.375,18.625,43.75,39.75,17.5,66.5,26.625,35.5,47.375
46.5,44.625,19.75,57.25,57,30,85,26.625,45.25,47.125
33.578,59.75,21.125,48,78.125,26.375,77,22,46.375,52.625
47.375,25.25,14.75,36.375,48.75,16.75,63.5,24.875,39.25,50.5
26.563,50.25,19.625,40,75.125,26.25,68,21.625,41.25,40.75
45.375,44.25,18.125,57.125,51.25,30.125,87,25.625,42.5,43.875
28.5,53.125,22.75,43.375,78.5,34.625,71,21.25,43,41
30.109,53.375,21.5,44.875,89.375,27.5,67.5,22.25,44.125,44.5
46.125,23.75,19.125,43.75,44.75,17.75,68,26.625,34,48
33.609,57.125,22,44.875,78.875,25.25,72,21.875,45.125,50
38.672,44.625,15.375,44,61.75,17.5,69.5,23.25,49.375,53.875
34.281,56.75,20.625,45.25,84.5,27.125,69.625,22.125,44.75,51.375
42.328,38.125,12.75,39.5,53.25,17.5,61.75,21.5,48,49.875
27.781,50.625,20,43,88.625,27.75,67.375,21.375,45.25,44.125
39.25,45.375,16.125,40,62,17.5,69.375,21.5,49.25,53.375
34.828,58.375,20.25,48.375,73.25,25.5,79.25,22.5,47.5,53.375
43.875,25,15.375,39.375,50.375,16.875,66.5,25.625,38.375,46.875
49.375,25.375,17.75,50,45.125,25,76.625,27.625,42.5,47.5
36.922,51,18.375,47.25,69.25,18.5,78,23.625,47,53.75
28.828,53.5,23.25,44.375,76.375,34.375,72,21.75,44,41.625
45.875,25,19.625,44,40,19.25,69.625,27.75,37.5,47.875
39.078,57.375,21.5,50.75,72.25,23.625,78.75,24.625,47.5,55.75
32,58.25,20.5,46.375,73.625,26.125,72.625,22,43,50.25
46.5,37.875,14.5,41.625,56.75,16.625,62.625,22.375,50.5,56
21.063,54.625,23.875,45.5,65.625,30.75,67.375,20,48.5,40.875
45.625,25.125,16.5,37.75,50,16.5,63.75,25.25,39,46.25
29.391,51.125,22.625,43.125,74.5,32.625,73.5,23,46.75,41.875
44.5,25.75,19.375,46.5,43.875,19,68,26.875,35.5,48.5
27.172,50.125,20,41.125,84,26.25,68.75,21.5,44,44.125
27.281,50.75,21.875,40.625,64.625,30,70.5,21,43.375,37.875
