@relation STP
@attribute att0 real[17.219,61.5]
@attribute att1 real[19.25,60.25]
@attribute att2 real[12.75,25.125]
@attribute att3 real[34.375,60.125]
@attribute att4 real[27.75,94.125]
@attribute att5 real[14.125,35.25]
@attribute att6 real[58,87.25]
@attribute att7 real[16.375,29.25]
@attribute att8 real[31.5,53]
@attribute output real[34,62]
@data
48.75,37.375,15.25,43.25,55.875,16.625,65.5,23.375,48.875,56.875
35.563,57.5,22.5,45.25,79.75,25,71.25,22.375,45,51.25
21.672,54,20.625,45.625,62.375,29.75,67.375,19.75,50.75,40.75
28,49.875,19.875,42.25,84.625,26.125,70.25,21.625,44,44.125
20.672,53.375,23.375,44,61.5,30,66.25,19.875,50,39.5
37.328,52,18.375,47.875,68.625,18.75,80.625,24.375,47.125,54.375
29.391,53.125,21.5,45,89.5,27.125,66.75,21.5,44,43.75
42.625,23,17.625,41.875,49.875,16.5,67,26.25,35,44.625
34.328,57.875,21.5,48.125,75.625,27,74.625,22.375,45.25,51.625
26.219,53,21,41.5,64.125,30.375,65.625,20.375,45.25,37
45.828,35.5,13.625,40.625,47.625,15.25,62.875,24,46.75,54.625
20.563,52.625,18.875,46.5,63.375,32.125,67,18,49,38.625
28.109,51,19.875,42.125,88.125,27.875,71.125,22.5,45.125,45
33.172,57.625,21.875,46.25,78.5,26.25,73.5,22.25,45,51.25
47.25,34.375,16.25,54.875,40.5,28.25,81.75,28,39.25,48.125
39.828,58.625,20.5,53.25,70.375,22.5,81,24.375,47.625,56.5
61.125,31.875,15.875,41.625,42.5,18.25,64,28.125,47.125,60.375
55,36,15.75,42.625,45.875,17.625,64.5,27.625,49.625,58
49.125,33.375,16.25,56.75,41.375,27.75,82.25,27.875,38,49.25
28.281,50,21.625,42.125,69,30.875,70.375,21.75,44.375,40.125
46.125,25.375,16,37.75,51.875,16.75,64.5,24.875,39,47
37.078,57,20.5,50,72.25,23.375,78.75,24.5,47.75,56.125
43,23.375,15.125,38.25,47.5,16.875,66.875,25.375,37.375,44.875
26.219,49.75,21.125,39.375,62.625,29.25,64.875,19.875,42.125,35.375
46.625,39,17.75,54.25,48.25,23.375,81.375,26.75,40.625,45.375
25.781,53.25,22.25,43.125,65,31.5,66.375,21.25,47.25,38.125
47.5,25.5,17,49.75,43.5,25,75.75,26.5,42.375,47.125
45,21.25,19.5,42.75,27.75,16.625,67.25,23.375,35,44
39,54.375,19.375,50.25,68.75,21.375,80.625,23.25,46.875,53.25
47,40,16.5,56.375,48.75,22.75,80.875,26.375,40,44.75
19.891,50.125,18.25,44.625,60.875,30,66.25,17,48.125,37.375
37.672,50.375,18.25,45.25,69.25,18.875,76.5,22.875,47,54.125
52.375,27,15.625,36,43.5,15,61,25.875,41.75,50.375
33.672,58.625,20.375,48.125,73.875,25.5,78,22.875,48.625,54.375
45.375,21.125,19.875,45.5,29.125,18.375,69.75,24.5,35.875,44.5
47.25,29.125,15.375,52.875,37.25,27,79.75,27,39.25,48.125
59.75,32.125,17.75,41.625,39,18.5,61.625,27.625,45.125,57.875
45.25,25,16.5,37.375,49.875,16.375,64,25.375,39,46.75
40,41.625,15.5,42.75,61.5,17.625,66.625,22.125,48.375,52.625
27.5,50.25,20.625,41.5,76.125,32.875,69.125,19.875,42.375,39
21.281,52.625,19.875,46.75,63.5,28.375,69.875,18.125,48.5,40.625
48.375,38.125,17.375,60.125,51.375,23.625,83.25,27.75,41.125,44.375
26.5,50.625,19.625,39.625,75.25,27.75,66.75,21.875,41.5,40.125
34.063,56.875,20.625,44,80.375,26.75,70.125,22,44.75,50.625
27.328,51,20.25,39.75,76.625,28.25,70.375,20.875,42.625,40.25
21.063,55.5,23.625,45.75,64.875,30.75,66.125,20.25,48.625,41.125
45.25,25.75,19.625,47,42.5,18.5,68,27.375,35.75,48.125
22,57.125,25,48.125,63.75,31,69.625,20,53,42.25
49.5,40,17.75,56.5,53.75,25.75,82.125,26.875,41,45.875
38.922,43.25,17.125,39.75,67.5,16,69.25,20.875,44.375,52.25
40,36.25,14.75,38.25,54.25,16.25,61.125,20.875,47.375,49.5
39.578,44.875,15.375,44.375,61.25,17.5,69.5,23.75,49.375,54.25
42.625,22.625,15.125,37.25,47.625,16.5,67.25,25.25,37.375,44
28.672,50.75,22.375,42.125,73,32.875,73,21.875,45.625,40.375
43.328,37.875,13.875,38.75,54.5,16.25,60.5,21.25,50,51.625
47.25,35.25,16.125,56.75,47.25,28.25,80.75,27.75,39.375,44.75
36.672,58,20.875,50.125,71.875,23.625,79,24,47.5,55.875
38.172,46.125,15.625,40.125,60.875,17.75,66.875,23,49.25,52.5
48.375,39.75,17.625,59.125,54.375,25.125,85.125,27.75,43.25,46.875
29.781,53.375,22.5,44,77.875,33.25,73.25,22.5,46,42.125
58.625,26.75,16,38.5,42.75,14.125,58.875,26.625,43.625,59.625
43.625,23.125,17.625,42,48.875,17.125,68,26.625,34.5,44.125
45.625,43.75,18,57,58.5,27.125,84,26.875,44,45.75
48.625,40.75,19,51.5,55.5,22.875,80.75,26.625,42.375,46.125
26.109,53,21.75,44.75,64.125,29.875,66,21.125,49,38.5
46,20,14.125,38.125,48.875,15.125,64.25,22.375,31.5,46.625
27.063,50.125,20.5,41.625,75.375,32.25,69.25,19.625,41.75,39.625
59,32.125,17.75,42.75,35.875,18.875,62.5,27.5,47,57.5
40.422,43.375,16.75,39.875,62.875,17.125,65.625,20.75,47,51.625
38.422,57.5,20.625,50.75,71.25,22.375,78.625,23.75,46.75,55.625
26,50.25,19.875,40.125,82.375,26.125,66.875,21.25,42.875,43.625
24.828,54.5,20.625,43.625,61.875,29.375,64.75,20,47.25,38.875
48.875,32.5,15.5,55.75,40.625,28.5,80.75,26.875,38.875,49.125
20.281,54.25,21.75,43.125,64,28.625,66.125,19.125,44.375,38.875
27.891,50.125,21.125,41.75,76,32.75,69.375,19.875,41.375,39.875
35.328,59.125,20,48,72.75,25.5,79.625,22.75,48,54.25
26.828,51.5,22,40.25,63.75,30.375,67.375,20.75,42.75,36.5
39.578,41.375,15.25,43.25,62.25,18,66.625,21.875,48,52.25
27.781,50.625,20,43,88.375,27.5,67.75,21.625,45.125,44.25
49,40.125,18.875,54.5,51,28,83.375,26.375,42.875,48.125
26.281,53.75,22.5,43.5,65.375,31.625,66.125,21.5,49,37.5
32.422,58.5,20.5,47.25,75.5,26.125,73.875,22,45.75,50.625
46.25,25.125,20.25,44.5,40.875,19.25,69.75,27.625,38.5,46.625
48.5,27.125,15.875,35.875,44.875,15.75,61.375,22.375,39.5,49.5
28.172,51.25,20.25,42.25,86.375,26.625,71.5,22,44.5,44.125
26.5,51.625,20.125,40.5,78,28.125,66.375,21.125,42,41.125
46.25,43.5,19.375,57.625,53.625,29.5,84.125,27.5,44.25,45.625
