@relation baseball
@attribute Batting_average real [0.063,0.457]
@attribute On-base_percentage real [0.063,0.486]
@attribute Runs integer [0,133]
@attribute Hits integer [1,216]
@attribute Doubles integer [0,49]
@attribute Triples integer [0,15]
@attribute HomeRuns integer [0,44]
@attribute Runs_batted_in integer [0,133]
@attribute Walks integer [0,138]
@attribute Strike-Outs integer [1,175]
@attribute Stolen_bases integer [0,76]
@attribute Errors integer [0,31]
@attribute Free_agency_eligibility integer [0,1]
@attribute Free_agent integer [0,1]
@attribute Arbitration_eligibility integer [0,1]
@attribute Arbitration integer [0,1]
@attribute Salary integer [109,6100]
@inputs Batting_average, On-base_percentage, Runs, Hits, Doubles, Triples, HomeRuns, Runs_batted_in, Walks, Strike-Outs, Stolen_bases, Errors, Free_agency_eligibility, Free_agent, Arbitration_eligibility, Arbitration
@outputs Salary
@data
0.222, 0.307, 21, 45, 9, 0, 6, 22, 19, 56, 3, 3, 0, 0, 0, 0, 140
0.318, 0.374, 72, 152, 33, 1, 14, 59, 46, 61, 10, 9, 0, 0, 0, 0, 430
0.252, 0.308, 58, 108, 18, 2, 20, 65, 31, 70, 12, 13, 1, 0, 0, 0, 3633
0.216, 0.253, 24, 62, 11, 1, 0, 14, 15, 31, 0, 7, 0, 0, 1, 0, 730
0.225, 0.31, 44, 96, 9, 3, 0, 31, 50, 69, 8, 15, 1, 1, 0, 0, 1600
0.246, 0.324, 45, 62, 12, 2, 7, 24, 28, 39, 17, 6, 1, 0, 0, 0, 825
0.256, 0.353, 64, 116, 30, 1, 17, 68, 68, 84, 0, 5, 0, 0, 0, 0, 387
0.251, 0.361, 42, 61, 10, 2, 3, 25, 39, 48, 14, 2, 0, 0, 0, 0, 145
0.298, 0.378, 18, 45, 10, 2, 6, 21, 17, 26, 1, 8, 0, 0, 0, 0, 180
0.302, 0.378, 88, 140, 27, 4, 20, 69, 55, 64, 24, 15, 1, 0, 0, 0, 4350
0.25, 0.364, 27, 60, 12, 1, 2, 24, 44, 44, 0, 0, 1, 0, 0, 0, 775
0.26, 0.323, 36, 65, 10, 0, 11, 39, 23, 46, 11, 5, 0, 0, 1, 1, 1000
0.213, 0.282, 48, 77, 16, 2, 11, 38, 35, 71, 13, 9, 1, 0, 0, 0, 2167
0.241, 0.32, 33, 84, 16, 2, 6, 36, 40, 53, 2, 14, 0, 0, 1, 1, 760
0.267, 0.333, 68, 130, 22, 2, 20, 69, 45, 77, 32, 4, 0, 0, 1, 0, 2150
0.293, 0.354, 8, 17, 7, 0, 0, 9, 6, 12, 1, 1, 0, 0, 0, 0, 130
0.32, 0.368, 41, 98, 17, 2, 3, 32, 23, 19, 2, 15, 0, 0, 1, 0, 1262
0.214, 0.25, 1, 3, 1, 0, 0, 1, 0, 5, 1, 1, 0, 0, 0, 0, 135
0.228, 0.279, 16, 38, 7, 2, 3, 21, 11, 32, 2, 3, 0, 0, 0, 0, 460
0.246, 0.323, 22, 81, 14, 0, 6, 26, 22, 26, 2, 5, 1, 0, 0, 0, 925
0.262, 0.326, 75, 149, 27, 4, 28, 86, 56, 109, 7, 2, 1, 1, 0, 0, 2300
0.289, 0.319, 57, 146, 19, 4, 5, 68, 26, 33, 5, 4, 0, 0, 1, 0, 2530
0.292, 0.41, 95, 149, 28, 5, 25, 116, 107, 73, 43, 3, 0, 0, 1, 0, 5150
0.249, 0.385, 32, 51, 10, 1, 1, 20, 47, 25, 2, 3, 1, 1, 0, 0, 500
0.165, 0.218, 15, 19, 4, 1, 1, 5, 7, 25, 0, 0, 0, 0, 0, 0, 225
0.272, 0.337, 81, 162, 27, 5, 4, 38, 55, 74, 23, 20, 0, 0, 1, 0, 2100
0.264, 0.321, 78, 144, 34, 1, 27, 102, 42, 118, 4, 6, 0, 0, 0, 0, 287
0.217, 0.264, 10, 40, 9, 0, 0, 7, 8, 24, 0, 4, 0, 0, 0, 0, 525
0.246, 0.293, 58, 144, 22, 1, 18, 66, 33, 104, 5, 17, 1, 0, 0, 0, 2700
0.267, 0.321, 20, 72, 15, 2, 3, 31, 23, 38, 0, 5, 0, 0, 0, 0, 750
0.286, 0.303, 11, 18, 1, 0, 0, 3, 1, 15, 1, 2, 0, 0, 0, 0, 120
0.316, 0.397, 78, 153, 35, 3, 31, 100, 65, 121, 6, 7, 1, 1, 0, 0, 5300
0.261, 0.37, 1, 6, 0, 0, 0, 2, 4, 3, 0, 0, 0, 0, 0, 0, 115
0.194, 0.286, 38, 63, 8, 1, 8, 32, 34, 49, 0, 6, 1, 0, 0, 0, 2167
0.063, 0.063, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 0, 1150
0.332, 0.421, 93, 181, 42, 2, 8, 51, 89, 32, 1, 12, 1, 0, 0, 0, 2700
0.263, 0.321, 32, 65, 10, 2, 2, 26, 11, 55, 7, 3, 0, 0, 0, 0, 640
0.364, 0.364, 2, 4, 1, 0, 1, 1, 0, 4, 0, 0, 0, 0, 0, 0, 109
0.249, 0.336, 33, 46, 8, 0, 3, 21, 23, 42, 12, 3, 0, 0, 0, 0, 205
0.281, 0.342, 66, 119, 13, 3, 3, 32, 37, 71, 26, 10, 0, 0, 1, 0, 1550
0.241, 0.316, 46, 99, 25, 0, 6, 44, 44, 48, 1, 4, 0, 0, 0, 0, 350
0.203, 0.24, 39, 64, 10, 1, 10, 33, 14, 96, 13, 6, 0, 0, 0, 0, 200
0.153, 0.227, 11, 18, 6, 0, 1, 7, 12, 41, 1, 1, 0, 0, 0, 0, 133
0.259, 0.358, 49, 91, 14, 3, 11, 54, 54, 59, 5, 17, 0, 0, 1, 0, 940
0.297, 0.391, 48, 73, 13, 5, 3, 12, 37, 20, 24, 4, 1, 0, 0, 0, 2317
0.268, 0.308, 52, 122, 20, 0, 24, 77, 25, 49, 3, 6, 1, 0, 0, 0, 2500
0.3, 0.35, 76, 163, 26, 6, 9, 83, 43, 35, 15, 3, 0, 0, 1, 0, 3050
0.327, 0.424, 60, 141, 14, 3, 0, 54, 75, 38, 4, 20, 1, 1, 0, 0, 850
0.308, 0.31, 4, 8, 1, 0, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 109
0.259, 0.309, 65, 144, 36, 3, 21, 91, 40, 149, 12, 23, 0, 0, 0, 0, 300
0.272, 0.304, 38, 82, 21, 3, 9, 49, 14, 49, 0, 9, 0, 0, 1, 0, 660
0.227, 0.26, 21, 47, 10, 2, 1, 15, 10, 29, 12, 2, 0, 0, 0, 0, 400
0.243, 0.286, 27, 85, 6, 2, 0, 27, 22, 49, 5, 22, 1, 1, 0, 0, 600
0.26, 0.332, 66, 131, 20, 4, 10, 77, 54, 79, 6, 2, 1, 0, 0, 0, 3200
0.268, 0.31, 72, 158, 24, 5, 34, 98, 33, 128, 5, 16, 0, 0, 1, 0, 2000
0.257, 0.315, 51, 96, 10, 1, 6, 34, 33, 57, 13, 8, 0, 0, 0, 0, 275
0.244, 0.281, 7, 20, 4, 0, 1, 11, 5, 17, 4, 2, 0, 0, 0, 0, 320
