@relation baseball
@attribute Batting_average real [0.063,0.457]
@attribute On-base_percentage real [0.063,0.486]
@attribute Runs integer [0,133]
@attribute Hits integer [1,216]
@attribute Doubles integer [0,49]
@attribute Triples integer [0,15]
@attribute HomeRuns integer [0,44]
@attribute Runs_batted_in integer [0,133]
@attribute Walks integer [0,138]
@attribute Strike-Outs integer [1,175]
@attribute Stolen_bases integer [0,76]
@attribute Errors integer [0,31]
@attribute Free_agency_eligibility integer [0,1]
@attribute Free_agent integer [0,1]
@attribute Arbitration_eligibility integer [0,1]
@attribute Arbitration integer [0,1]
@attribute Salary integer [109,6100]
@inputs Batting_average, On-base_percentage, Runs, Hits, Doubles, Triples, HomeRuns, Runs_batted_in, Walks, Strike-Outs, Stolen_bases, Errors, Free_agency_eligibility, Free_agent, Arbitration_eligibility, Arbitration
@outputs Salary
@data
0.275, 0.373, 83, 113, 17, 2, 10, 50, 64, 81, 8, 12, 0, 0, 0, 0, 150
0.249, 0.309, 30, 70, 12, 3, 4, 22, 24, 57, 10, 1, 0, 0, 0, 0, 158
0.295, 0.375, 69, 141, 21, 1, 11, 71, 61, 66, 1, 9, 0, 0, 0, 0, 340
0.258, 0.37, 34, 86, 14, 1, 14, 38, 15, 45, 0, 10, 1, 0, 0, 0, 600
0.227, 0.307, 29, 40, 9, 1, 10, 28, 16, 29, 4, 8, 1, 1, 0, 0, 3415
0.281, 0.386, 37, 63, 16, 3, 6, 31, 38, 40, 1, 10, 0, 0, 0, 0, 200
0.307, 0.357, 110, 203, 44, 5, 25, 116, 56, 91, 16, 7, 0, 0, 1, 1, 5000
0.264, 0.319, 38, 121, 24, 5, 2, 57, 36, 63, 9, 7, 0, 0, 1, 0, 992
0.264, 0.293, 29, 83, 15, 1, 0, 30, 15, 45, 2, 9, 0, 0, 0, 0, 145
0.194, 0.277, 25, 34, 12, 2, 2, 22, 19, 15, 5, 8, 0, 0, 1, 0, 725
0.26, 0.292, 59, 128, 22, 7, 12, 50, 23, 64, 21, 21, 0, 0, 1, 0, 2475
0.305, 0.347, 35, 54, 6, 2, 6, 23, 10, 27, 16, 2, 0, 0, 1, 0, 875
0.123, 0.188, 12, 13, 3, 0, 2, 8, 7, 26, 3, 3, 0, 0, 0, 0, 150
0.244, 0.271, 22, 71, 17, 0, 5, 36, 11, 45, 0, 4, 0, 0, 1, 0, 1000
0.289, 0.325, 29, 46, 13, 2, 5, 17, 9, 24, 10, 2, 0, 0, 0, 0, 150
0.258, 0.324, 29, 57, 8, 2, 8, 25, 23, 54, 6, 3, 0, 0, 0, 0, 325
0.269, 0.332, 46, 106, 22, 0, 20, 69, 33, 93, 0, 6, 0, 0, 0, 0, 230
0.28, 0.353, 76, 158, 36, 3, 11, 81, 62, 94, 17, 25, 0, 0, 0, 0, 315
0.265, 0.35, 28, 62, 11, 3, 1, 25, 29, 21, 4, 11, 1, 0, 0, 0, 284
0.216, 0.318, 20, 40, 5, 1, 1, 21, 29, 21, 0, 3, 1, 0, 0, 0, 900
0.24, 0.3, 51, 92, 16, 3, 13, 50, 31, 73, 9, 3, 0, 0, 0, 0, 200
0.288, 0.339, 64, 169, 35, 0, 9, 68, 46, 42, 2, 5, 1, 0, 0, 0, 3620
0.265, 0.306, 53, 133, 16, 6, 3, 54, 30, 56, 7, 9, 0, 0, 1, 1, 2000
0.251, 0.301, 83, 142, 23, 15, 9, 69, 41, 114, 44, 6, 0, 0, 0, 0, 230
0.265, 0.322, 44, 102, 17, 1, 6, 51, 33, 56, 3, 18, 1, 1, 0, 0, 1750
0.209, 0.293, 9, 28, 5, 1, 0, 11, 15, 12, 0, 1, 1, 1, 0, 0, 300
0.259, 0.322, 65, 135, 32, 1, 16, 74, 49, 46, 6, 2, 1, 0, 0, 0, 3417
0.307, 0.368, 55, 100, 16, 5, 6, 34, 32, 53, 16, 2, 1, 0, 0, 0, 1617
0.267, 0.31, 73, 149, 23, 9, 6, 39, 34, 89, 76, 6, 0, 0, 0, 0, 300
0.244, 0.337, 64, 99, 14, 4, 27, 77, 53, 117, 0, 5, 0, 0, 1, 0, 1445
